#    p(mb)        T(K)  
   0.00003     360.000 
   0.00004     300.000 
   0.00007     240.000 
   0.00014     208.800 
   0.00032     195.100 
   0.00076     188.400 
   0.00184     186.900 
   0.00446     188.900 
   0.01050     198.600 
   0.02400     208.400 
   0.05220     219.600 
   0.10900     233.300 
   0.21900     247.000 
   0.42500     260.800 
   0.79780     270.700 
   1.09000     270.600 
   1.49100     264.200 
   2.06000     257.300 
   2.87100     250.400 
   4.04116     243.435 
   5.74600     236.500 
   8.25725     229.588 
  11.97000     226.500 
  17.43000     224.000 
  25.49000     221.600 
  29.72000     220.600 
  34.67000     219.600 
  40.47000     218.600 
  47.29000     217.600 
  55.29000     216.700 
  64.67000     216.700 
  75.65000     216.700 
  88.50000     216.700 
 103.50000     216.700 
 121.10000     216.700 
 141.70000     216.700 
 165.80000     216.700 
 194.00000     216.700 
 227.00000     216.800 
 265.00000     223.300 
 308.00000     229.700 
 356.50000     236.200 
 411.10001     242.700 
 472.20001     249.200 
 540.50000     255.700 
 616.59998     262.200 
 701.20001     268.700 
 795.00000     275.200 
 898.79999     281.700 
1013.00000     288.200 
